commit	elo	games_played	status	description
29f14dd	2324.3	10	keep	baseline: alpha-beta + HCE, TT, LMR, null move, PVS, PSTs, king safety, mobility
f41dfe2	2200.0	10	keep	baseline re-eval: same engine, 5W/0D/5L
ad9119d	2418.7	10	keep	complexity-aware time management: scale allocation by game phase, check status, piece count
4fc2eec	2625.5	10	keep	adopt random-seed + add probcut pruning at depth>=6 with beta+200 margin
797f2fe	2800.0	10	keep	add TT probing and storing in quiescence search
6c48bc0	2539.9	10	discard	history-based LMR: finer-grained reductions based on history score and improving flag
fc5ea3b	2369.5	10	discard	double TT to 4M, eval cache to 1M, pawn cache to 512K entries
a5a44b7	2760.4	10	discard	expand opening book: cover all 30 EPD tournament positions with theory lines
8218f58	2760.4	10	discard	add multi-cut pruning: prune non-PV nodes at depth>=8 when 3/6 moves beat beta at reduced depth
237f554	2369.5	10	discard	add minimal NNUE correction: 768->8->1 net with PST-derived weights for piece interaction patterns
2242eaa	2474.1	10	discard	combine expanded EPD book (all 30 positions) + multi-cut pruning (non-PV depth>=8)
c2f1923	2800.0	10	keep	adopt random-seed dc291ee8: LMP d7-8 extension + tightened futility margins (2800 ELO) - verified 10-0
c749acd	2800.0	10	keep	tighten aspiration window from 40 to 30 centipawns - verified 10-0
1847190	2324.3	10	discard	extend LMP to depth 9 with limit 85 moves
4cd5bfe	2539.9	10	discard	increase contempt from 12 to 25 for more aggressive play against weaker opponents
f16529d	2474.1	10	verify	consistency re-run of unchanged code: 8W/0D/2L confirms ~300 ELO variance
4965bba	2625.5	10	discard	add check extension at leaf nodes: extend by 1 ply when move gives check at depth<=2
da61fd2	2760.4	10	discard	slightly more aggressive null move reduction at depth>=12: add depth/12 term
3b305b0	2539.9	10	discard	relax SEE pruning threshold from -50*depth to -40*depth for quiet moves
2641474	2369.5	10	discard	allocate 1.5x time for first 3 post-book moves: critical transition decisions
be5aeb6	2760.4	10	keep	reduce minimum time from 100ms to 50ms - zero losses (9W/1D/0L), PGN-driven fix
58917cc	2369.5	10	discard	increase repetition penalty 4x to prevent drawn-by-repetition when winning (PGN showed mate-in-14 drawn by 3-fold)
740e30c	2418.7	10	verify	final consistency re-run: 6W/3D/1L confirms ~2650-2700 true average, 2800 peak is variance
ee43222	2625.5	10	discard	tighten futility margins at d1-2 by 15%: RFP 75/140->64/119, FUT 90/155->77/132
0290425	2625.5	10	discard	add continuation history (2-ply follow-up): track good moves relative to grandparent move for better move ordering and LMR
2c9df01	2675.7	10	keep	add ProbCut pruning depth>=5 beta+200 margin (NEW ANCHOR 2800: opponents 2600-3000)
947c681	2200.0	10	discard	tune LMR more aggressive (0.6+ln*ln/2.0) with PV-node reduction — 0W/0D/10L too aggressive
3a535d9	2718.3	10	keep	add best-move stability time management: stop early when stable 4+ iterations (anchor 2800)
d55f43f	2581.3	10	discard	SEE pruning for bad captures at depth<=6 — too aggressive, lost good captures
1000e19	2239.6	10	discard	null move reduction 3+depth/4 — too aggressive, 0W/1D/9L
146fbc7	2581.3	10	discard	LMR for late captures (reduce 1 ply when move_count>6) — lost ELO
1000e19	2239.6	10	discard	null move reduction 3+depth/4 — too aggressive, 0W/1D/9L
d231e62	2675.7	10	discard	enable Lazy SMP with small worker TTs (64K) — overhead worse than benefit
a7d77e9	2630.5	10	discard	non-linear king safety attack-units system — too penalizing
2a38685	2581.3	10	discard	replace IID with IIR + lower singular extension threshold from depth>=8 to depth>=6
a9e44b6	2374.5	10	discard	remove opening book + connected passed pawns + aggressive endgame king proximity — 1W/9L catastrophic
f93a6f5	2581.3	10	discard	remove opening book only (no eval changes) — 2W/1D/7L, book actually saves time for critical positions
bac1b1a	2525.9	10	discard	TT probing+storing in quiescence v1 (buggy cutoff logic) — 1W/2D/7L
9b7f8a9	2581.3	10	discard	TT probing in quiescence v2 (simplified cutoffs) — 2W/1D/7L, depth-0 entries pollute TT
00838a9	2200.0	10	discard	improving-aware pruning (RFP*2/3, futility*2/3, LMP/2 when not improving) — 0W/0D/10L catastrophic
91ae8b6	2200.0	10	discard	PeSTO PSTs wrong orientation (rank 8 at index 0) — 0W/0D/10L
c73ba99	2675.7	10	discard	PeSTO PSTs fixed orientation — 2W/3D/5L, search params not calibrated for PeSTO scale
eb1e7fc	2581.3	10	discard	PeSTO PSTs + recalibrated params (aspiration 50cp, margins +50%) — 2W/1D/7L, looser pruning hurts depth
ca84579	2718.3	10	discard	pure IIR (depth-=1 at depth>=4) — 4W/0D/6L, exactly matches baseline, simpler but not better
ce1bb75	2630.5	10	discard	IIR + singular ext depth>=7 (was 8) — 3W/0D/7L, singular ext should stay at depth>=8
d77dcd4	2675.7	10	discard	revert aspiration 30cp->40cp for anchor 2800 — 3W/1D/6L, 30cp is fine
8957d8b	2630.5	10	discard	NNUE correction 768->16->1 heuristic weights clipped ±15cp — 3W/0D/7L, adds noise not knowledge
83fb45b	2374.5	10	discard	pure IIR re-run (same code scored 2718.3 in iter 43) — 1W/0D/9L, extreme variance proof
101ccb5	2718.3	10	discard	eval cache 512K->2M entries — 2W/4D/4L, matches baseline exactly (second neutral change found)
a075ded	2718.3	10	discard	IIR + eval cache 2M combined — 3W/2D/5L, matches baseline exactly (third 2718.3 result)
ec5325b	2630.5	10	discard	IIR + eval cache 2M + pawn cache 1M — 3W/0D/7L, pawn cache increase may hurt via cache pressure
fde7960	2581.3	10	discard	IIR + eval cache 2M 4th run — 2W/1D/7L, same combo scored 2718.3 x3 before, pure variance
ec5325b	2630.5	10	discard	IIR + eval cache 2M + pawn cache 1M — 3W/0D/7L, pawn cache hurts via memory pressure
c3a5004	2200.0	10	discard	Stockfish NNUE nn-04cf2b4ed1da HalfKP inference — 0W/0D/10L, broken scaling/feature mapping
739c33a	2200.0	10	discard	Stockfish NNUE fixed scaling /200 — 0W/0D/10L, scores OK but 10x slower, depth 5-7 vs 11-16
929469f	2630.5	10	discard	remove threat_score for NPS boost — 3W/0D/7L, marginal NPS gain doesn't compensate eval loss
b2591d8	2675.7	10	discard	IIR + eval cache 2M 6th run — 3W/1D/6L, combo scores: 2718x3, 2581x2, 2675x1, median ~2700
929469f	2630.5	10	discard	remove threat_score for NPS — marginal gain doesn't compensate
ed8e52f	2581.3	10	discard	pure IIR 3rd run — 2W/1D/7L, IIR scores: 2718, 2374, 2581, avg ~2558
232e315	2581.3	10	verify	baseline consistency (version bump only) — 2W/1D/7L, confirms ~2600 true strength
41b75a4	2200.0	10	discard	Stockfish NNUE incremental + cached — 0W/0D/10L, depth 9 vs HCE depth 14, NNUE 100x slower per eval without SIMD
81b1a76	ERROR	0	crash	aarch64 native compilation — build fails, eval.sh expects target/release/ but aarch64 outputs to different path
b61c17e	2718.3	10	discard	adopt random-seed 68de contempt=0 — 3W/2D/5L, matches baseline, their 2924.3 was lucky draw
1824564	2881.7	10	keep	contempt=0 on our optimized code (1/15 time, 50ms min) — 4W/4D/2L NEW BEST!
2e61d95	2460.1	10	discard	eval cache 2M on contempt=0 base — 1W/1D/8L, memory pressure hurts
f5470b7	2460.1	10	verify	contempt=0 consistency run — 1W/1D/8L, same code scored 2881.7 before (421 ELO variance!)
e16f93d	2525.9	10	discard	remove contempt code entirely — 2W/0D/8L, changed repetition/stalemate scoring from -CONTEMPT to DRAW_SCORE
97d7e4e	2675.7	10	discard	remove mopup_score — 3W/1D/6L, neutral (within variance of contempt=0 base ~2650)
4f917d3	2581.3	10	discard	variance sampling run #1 on contempt=0 — 2W/1D/7L, avg now ~2625 across 5 runs
5424470	2460.1	10	discard	codegen-units=1 on contempt=0 — 1W/1D/8L, variance (avg ~2608 across 6 runs)
a7b209a	2239.6	10	discard	panic=abort on contempt=0 — 0W/1D/9L, worst run yet, pure bad luck
0f5ec36	2581.3	10	discard	final variance sampling — 2W/1D/7L, engine at ceiling
90ed70c	2239.6	10	discard	recapture extension at depth>=3 — 0W/1D/9L, too many extensions slow search
b18f46e	2969.5	10	keep	nnue-rs NNUE (HalfKP 256x2-32-32-1) on contempt=0 optimized base — 6W/2D/2L NEW ALL-TIME BEST!
0c6fdb5	3074.1	10	keep	eval cache 2M on NNUE base — 8W/0D/2L OVER 3000 ELO!
4a79cb4	2840.5	10	discard	remove opening book on NNUE base — 4W/3D/3L, book time savings still valuable even with NNUE
a841daf	3225.5	10	keep	IIR on NNUE base — 8W/2D/0L ZERO LOSSES! NEW ALL-TIME BEST!
0742e84	3139.9	10	discard	lazy NNUE (material eval for pruning) — 8W/1D/1L, material-only pruning too imprecise
239ac15	3332.4	38	keep	SPRT baseline on new eval: 35W/2D/1L in 38 games = 3332.4! Statistically significant!
62dd82c	2636.9	257	keep	[equal-time eval] adopt pawn-corr + NM guard from a7aeff55 — new equal-time baseline (old 5:1 scores not comparable)
28d022b	2676.8	257	keep	[equal-time eval] aspiration window 20cp (was 30cp) — +40 ELO from tighter window with NNUE accurate eval
671909e	2688.3	257	keep	[equal-time eval] aspiration window 15cp (was 20cp) — +52 ELO from baseline, optimal sweet spot
1d6e46d	2689.3	257	keep	[equal-time eval] 1-ply continuation history 384x384 — +1 ELO marginal, within noise but not worse
5931f0e	2701.6	248	keep	[equal-time eval] improving-aware LMP: 2x limit when improving — +12 ELO from 2689.3
rfp-imp	2658.4	246	discard	[equal-time eval] improving-aware RFP: 2/3 margin when improving — -43 ELO, too aggressive pruning
rfp-d5	2639.7	233	discard	[equal-time eval] extend RFP+futility to depth 5 — -62 ELO, misses tactics at depth 5
se-1.5x	2682.4	277	discard	[equal-time eval] singular extension margin 1.5*depth (was 2*depth) — -19 ELO, too slow at short TC
b69f6f0	2716.7	300	keep	[equal-time eval] IIR gated to cut-nodes only (zero-window) — +15 ELO, PV nodes get full depth
nmp-cut	2648.5	227	discard	[equal-time eval] NMP +1 reduction at cut-nodes — -68 ELO, too many false cutoffs
lmr-pv	2675.3	241	discard	[equal-time eval] LMR -1 reduction at PV nodes — -41 ELO, slows search too much
prior-red	2675.5	224	discard	[equal-time eval] prior reduction +1 LMR when parent LMR-reduced — -41 ELO, compounds depth too aggressively
nmp-d5	2658.3	270	discard	[equal-time eval] NMP threshold depth>=5 (was 3) — -58 ELO, NMP at depth 3-4 was useful
iir-d3	2682.7	252	discard	[equal-time eval] IIR threshold depth>=3 (was 4) — -34 ELO, too shallow
asp-12	2647.8	276	discard	[equal-time eval] aspiration window 12cp (was 15cp) — -69 ELO, too many re-searches
se-pv	2683.3	192	discard	[equal-time eval] SE at PV nodes only, skip at cut-nodes — -33 ELO, SE at cut-nodes also valuable
pawn-corr-grain128	2689.1	299	discard	[equal-time eval] pawn correction grain 128 (was 256, 2x stronger) — -28 ELO
probcut-150	2672.4	267	discard	[equal-time eval] ProbCut beta margin 150 (was 200) — -44 ELO, too aggressive
killer3	2662.6	274	discard	[equal-time eval] 3rd killer slot per ply — -54 ELO, 2-slot system was optimal
ch-lmr	2656.4	253	discard	[equal-time eval] cont_hist for LMR adjustment — -60 ELO, extra lookup overhead hurts at short TC
de11d57	2882.2	264	keep	[40/120 baseline] new TC: 40/120 equal-time both sides — CCRL-style, 148W/24D/92L
